,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
383,neiafu,20,TO,1584892347,100,73.4,-18.65,-173.98,3.6
384,akom,66,CM,1584892347,41,88.93,2.67,12.71,4.56
385,semey,26,KZ,1584892347,86,30.2,50.41,80.23,6.71
386,lodeynoye pole,0,RU,1584892347,51,29.35,60.73,33.55,5.73
387,itoigawa,100,JP,1584892347,85,41.0,37.03,137.85,5.12
388,olhao,40,PT,1584892347,72,59.0,37.03,-7.84,6.93
389,berezovka,0,BY,1584892347,34,33.85,53.72,25.5,14.9
390,nizhniy kuranakh,51,RU,1584892347,94,11.71,58.84,125.49,3.8
391,banda aceh,29,ID,1584892348,77,75.07,5.56,95.32,3.76
392,kifri,100,IQ,1584892348,70,54.01,34.7,44.97,16.49
393,kyra,0,RU,1584892348,73,30.79,49.58,111.98,1.45
394,russell,1,US,1584892348,63,68.0,32.35,-85.2,4.7
395,sakaiminato,75,JP,1584892348,66,51.8,35.55,133.23,12.75
396,avera,90,US,1584892348,93,68.0,33.19,-82.53,10.29
397,taltal,0,CL,1584892348,65,69.31,-25.4,-70.48,7.58
398,waipawa,100,NZ,1584892348,77,62.6,-41.41,175.52,16.11
399,bembereke,100,BJ,1584892348,34,92.89,10.23,2.66,11.65
400,capinzal,0,BR,1584892348,40,84.61,-27.34,-51.61,1.9
401,karasjok,100,NO,1584892348,78,32.0,69.47,25.51,53.02
402,leshukonskoye,100,RU,1584892348,91,25.75,64.9,45.76,8.08
403,belaya gora,18,RU,1584892348,93,-4.85,68.53,146.42,2.57
404,waddan,0,LY,1584892348,17,81.73,29.16,16.14,16.22
405,mae sai,3,TH,1584892348,61,77.0,20.43,99.88,1.12
406,plaster rock,1,CA,1584892348,43,17.01,46.91,-67.39,13.87
407,rudbar,100,AF,1584892348,33,81.37,30.15,62.6,5.23
408,buba,51,GW,1584892348,11,107.65,11.58,-15.0,6.15
409,zemio,88,CF,1584892159,46,87.31,5.03,25.14,8.32
410,padang,100,ID,1584892348,95,70.93,-0.95,100.35,2.21
411,tingi,100,TZ,1584892348,89,72.73,-11.3,35.03,1.79
412,torbay,75,CA,1584892140,67,26.01,47.67,-52.73,24.16
413,colesberg,60,ZA,1584892349,35,77.41,-30.72,25.1,7.14
414,san juan,0,AR,1584892349,29,84.79,-31.54,-68.54,3.83
415,bundibugyo,100,UG,1584892349,91,58.69,0.74,30.04,2.71
416,vestmannaeyjar,75,IS,1584892349,93,39.2,63.44,-20.27,40.26
417,kenda,33,IN,1584892349,36,79.93,23.2,86.53,3.31
418,berlevag,100,NO,1584892349,79,26.6,70.86,29.09,36.91
419,tomatlan,0,MX,1584892349,39,82.27,19.93,-105.25,0.2
420,urambo,46,TZ,1584892349,69,78.67,-5.07,32.05,4.5
421,nelson bay,90,AU,1584892349,73,70.0,-32.72,152.15,11.41
422,barentu,0,ER,1584892349,14,88.03,15.11,37.59,16.64
423,masvingo,0,ZW,1584892349,44,75.43,-20.06,30.83,10.47
424,okhotsk,100,RU,1584892349,79,17.11,59.38,143.3,2.33
425,dabat,0,ET,1584892349,17,74.35,12.98,37.77,15.86
426,bosaso,18,SO,1584892349,86,82.81,11.28,49.18,5.28
427,fairbanks,20,US,1584892291,67,21.2,64.84,-147.72,20.8
428,bathsheba,40,BB,1584892349,62,86.0,13.22,-59.52,20.8
429,half moon bay,75,US,1584892349,81,54.0,37.46,-122.43,8.23
430,mandalgovi,0,MN,1584892349,27,41.41,45.76,106.27,10.31
431,nago,75,JP,1584892349,88,71.6,26.59,127.98,8.05
432,mogadishu,39,SO,1584892281,73,83.53,2.04,45.34,13.85
433,aklavik,90,CA,1584892351,78,12.2,68.22,-135.01,17.22
434,turgutlu,75,TR,1584892351,67,60.8,38.5,27.7,5.82
435,nishihara,75,JP,1584892351,88,71.6,26.18,127.76,8.05
436,hasaki,20,JP,1584892106,76,53.6,35.73,140.83,6.93
437,guilin,75,CN,1584892351,88,71.6,25.28,110.29,2.24
438,san andres,20,CO,1584892092,62,86.0,12.58,-81.7,18.34
439,sal rei,20,CV,1584892351,57,75.2,16.18,-22.92,23.04
440,namibe,40,AO,1584892330,78,78.8,-15.2,12.15,13.87
441,pine bluff,90,US,1584892351,87,48.2,34.23,-92.0,10.29
442,abadan,40,IR,1584892351,34,68.0,30.34,48.3,11.41
443,seoul,1,KR,1584892234,36,48.2,37.57,126.98,2.24
444,gobabis,82,NA,1584892351,30,86.0,-22.45,18.97,2.24
445,at-bashi,11,KG,1584892076,68,12.43,41.17,75.81,7.05
446,moussoro,99,TD,1584892351,5,106.39,13.64,16.49,5.55
447,marsa matruh,0,EG,1584892351,68,61.39,31.35,27.25,20.74
448,esna,0,EG,1584892351,10,77.23,25.29,32.55,3.49
449,kieta,100,PG,1584892351,75,81.91,-6.22,155.63,5.01
450,leogane,20,HT,1584892352,48,84.2,18.51,-72.63,9.17
451,wagar,2,SD,1584892352,7,95.77,16.15,36.2,12.59
452,saint-joseph,0,RE,1584892143,69,78.8,-21.37,55.62,16.11
453,sibolga,100,ID,1584892352,95,72.73,1.74,98.78,2.55
454,isangel,24,VU,1584892352,80,77.05,-19.55,169.27,11.88
455,saint andrews,90,US,1584892352,71,57.2,34.05,-81.13,11.41
456,waverly,1,US,1584892165,50,35.01,42.74,-84.62,9.17
457,vung tau,0,VN,1584892352,82,78.85,10.35,107.08,14.38
458,chute-aux-outardes,1,CA,1584892352,39,12.2,49.12,-68.4,9.17
459,nova odesa,100,UA,1584892352,79,39.79,47.31,31.79,15.35
460,karasburg,98,NA,1584892352,15,92.89,-28.02,18.75,5.68
461,petropavlovsk-kamchatskiy,40,RU,1584892352,91,32.0,53.05,158.65,11.18
462,khandyga,96,RU,1584892352,95,8.47,62.67,135.6,5.01
463,mwinilunga,94,ZM,1584892352,79,74.35,-11.74,24.43,4.52
464,nukus,100,UZ,1584892352,20,51.8,42.45,59.61,11.41
465,mutis,7,CO,1584892352,77,78.49,6.23,-77.4,5.68
466,taoudenni,83,ML,1584892352,6,90.19,22.68,-3.98,13.27
467,camapua,20,BR,1584892352,73,82.09,-19.53,-54.04,6.13
468,sorland,40,NO,1584892352,74,41.0,67.67,12.69,28.86
469,rosa zarate,70,EC,1584892352,70,83.71,0.33,-79.47,1.63
470,rincon,90,US,1584892353,87,69.8,32.3,-81.24,12.75
471,bensonville,40,LR,1584892353,63,91.4,6.45,-10.61,13.87
472,aykhal,90,RU,1584892353,84,6.8,66.0,111.5,8.95
473,ushtobe,100,KZ,1584892353,74,46.27,45.25,77.98,7.61
474,sumbe,48,AO,1584892203,60,85.33,-11.21,13.84,10.71
475,katherine,75,AU,1584892353,61,78.8,-14.47,132.27,4.7
476,beringovskiy,100,RU,1584892144,87,35.65,63.05,179.32,18.39
477,kisangani,76,CD,1584892353,63,82.45,0.52,25.2,3.2
478,pangnirtung,100,CA,1584892353,95,-10.25,66.15,-65.71,3.58
479,balgazyn,58,RU,1584892353,68,28.45,51.0,95.2,1.21
480,koungou,36,YT,1584892353,79,84.2,-12.73,45.2,3.36
481,nhulunbuy,40,AU,1584892353,83,77.0,-12.23,136.77,13.8
482,miri,75,MY,1584892345,94,80.6,4.41,114.01,3.36
483,port lincoln,79,AU,1584892353,77,59.77,-34.73,135.87,17.87
484,mirabad,100,AF,1584892353,33,79.93,30.44,61.84,7.36
485,bandarbeyla,0,SO,1584892353,81,82.81,9.49,50.81,12.35
486,muli,4,MV,1584892353,69,84.25,2.92,73.57,8.3
487,diu,0,IN,1584892353,83,77.41,20.71,70.98,14.7
488,hualmay,20,PE,1584892353,50,80.83,-11.1,-77.61,7.49
489,kozhevnikovo,100,RU,1584892354,78,23.0,56.26,83.97,15.99
490,shahr-e kord,40,IR,1584892354,80,33.8,32.33,50.86,11.41
491,wukari,99,NG,1584892354,27,100.99,7.85,9.78,5.03
492,atambua,100,ID,1584892354,87,73.45,-9.11,124.89,4.05
493,nouakchott,2,MR,1584892147,26,84.2,18.09,-15.98,17.22
494,narsaq,75,GL,1584892354,37,33.8,60.92,-46.05,11.41
495,ayaviri,94,PE,1584892354,66,49.33,-14.89,-70.59,2.15
496,teahupoo,3,PF,1584892354,83,75.2,-17.83,-149.27,3.36
497,iskateley,100,RU,1584892354,92,24.31,67.68,53.15,16.8
498,crestline,1,US,1584892354,76,57.0,34.24,-117.29,6.93
499,lakatoro,91,VU,1584892354,77,81.37,-16.1,167.42,15.08
500,ossora,68,RU,1584892354,92,23.59,59.24,163.07,3.8
501,mahanoro,0,MG,1584892354,68,80.47,-19.9,48.8,11.18
502,masallatah,0,LY,1584892354,48,67.51,32.62,14.0,24.2
503,kununurra,77,AU,1584892354,73,77.0,-15.77,128.73,2.33
504,det udom,27,TH,1584892313,51,93.0,14.91,105.08,4.7
505,acajutla,0,SV,1584892139,64,78.01,13.59,-89.83,5.01
506,miranda,20,CO,1584892354,48,82.4,3.25,-76.23,3.36
507,rio grande,20,BR,1584892100,48,84.2,-32.03,-52.1,8.05
508,coahuayana,5,MX,1584892164,65,77.0,18.73,-103.68,3.31
509,kanniyakumari,35,IN,1584892355,76,83.89,8.08,77.57,7.47
510,yuzhou,100,CN,1584892355,50,57.2,34.16,113.46,2.24
511,umm lajj,0,SA,1584892355,41,65.53,25.02,37.27,11.77
512,bowen,100,AU,1584892355,83,79.0,-20.02,148.23,8.05
513,yerofey pavlovich,0,RU,1584892355,85,11.35,53.97,121.97,3.49
514,wum,65,CM,1584892355,47,86.05,6.38,10.07,4.38
515,tibu,4,CO,1584892355,57,85.87,8.64,-72.74,1.45
516,sassandra,19,CI,1584892355,66,86.95,4.95,-6.08,10.2
517,svetlyy,0,RU,1584892355,40,37.4,54.67,20.13,13.42
518,meulaboh,22,ID,1584892355,64,85.69,4.14,96.13,2.82
519,malanville,53,BJ,1584892355,16,106.03,11.87,3.39,8.68
520,muros,40,ES,1584892355,77,66.0,42.78,-9.06,8.05
521,gold coast,0,AU,1584892355,83,75.0,-28.0,153.43,5.82
522,udachnyy,90,RU,1584892355,84,6.8,66.42,112.4,8.95
523,sisimiut,0,GL,1584892355,71,5.23,66.94,-53.67,3.91
524,crestview,90,US,1584892355,72,73.0,30.76,-86.57,4.41
525,lalibela,83,ET,1584892355,22,78.13,12.03,39.03,21.47
526,redcliffe,0,AU,1584892355,94,75.99,-27.23,153.1,9.17
527,san ramon,75,US,1584892105,81,54.0,37.78,-121.98,4.85
528,yumen,98,CN,1584892356,33,50.59,40.28,97.2,13.24
529,mopipi,0,BW,1584892356,19,90.19,-21.18,24.88,9.51
530,praia da vitoria,75,PT,1584892356,77,60.8,38.73,-27.07,14.61
531,novaya ladoga,0,RU,1584892356,24,28.0,60.1,32.3,5.39
532,bandar,100,ID,1584892322,95,74.17,2.05,99.75,2.04
533,ekhabi,100,RU,1584892356,89,17.83,53.51,142.97,9.91
534,mingyue,47,CN,1584892356,67,27.19,43.11,128.92,2.98
535,okakarara,75,NA,1584892356,39,82.63,-20.58,17.43,9.28
536,sao domingos do maranhao,85,BR,1584892356,73,83.71,-5.58,-44.39,3.11
537,son la,1,VN,1584892197,67,71.83,21.32,103.9,2.84
538,karaikkudi,77,IN,1584892356,67,82.63,10.07,78.78,13.6
539,paka,100,MY,1584892356,94,78.8,4.64,103.44,1.12
540,mahenge,100,TZ,1584892357,90,78.67,-8.68,36.72,4.09
541,jalu,64,LY,1584892180,12,88.75,29.03,21.55,11.68
542,encinitas,1,US,1584892357,93,60.01,33.04,-117.29,5.28
543,constitucion,60,CL,1584892357,65,61.21,-35.33,-72.42,11.7
544,oktyabrskiy,100,RU,1584892357,87,21.07,54.48,53.47,7.34
545,sibut,68,CF,1584892357,36,91.99,5.72,19.07,5.41
546,beloha,33,MG,1584892139,66,80.29,-25.17,45.05,15.88
547,tual,100,ID,1584892357,78,80.83,-5.67,132.75,9.06
548,khandbari,100,NP,1584892357,94,42.85,27.37,87.2,1.19
549,tanah merah,20,MY,1584892357,83,82.4,5.8,102.15,6.93
550,dombarovskiy,0,RU,1584892357,84,26.47,50.76,59.54,5.37
551,yangambi,100,CD,1584892357,84,75.25,0.81,24.43,2.15
552,axim,90,GH,1584892255,69,87.31,4.87,-2.24,7.67
553,toora-khem,80,RU,1584892357,88,26.83,52.47,96.11,1.61
554,poya,0,NC,1584892357,73,76.33,-21.35,165.15,13.51
555,erzin,0,TR,1584892357,42,64.4,36.96,36.2,10.29
556,puerto madryn,97,AR,1584892357,16,80.65,-42.77,-65.04,9.1
557,shubarshi,0,KZ,1584892357,48,42.13,48.59,57.19,7.63
558,saint-pierre,0,RE,1584892357,69,78.8,-21.34,55.48,16.11
559,hami,10,CN,1584892357,27,55.09,42.8,93.45,18.57
560,altay,30,CN,1584892358,69,25.75,47.87,88.12,4.88
561,samana,20,DO,1584892358,74,82.4,19.21,-69.34,6.93
562,slave lake,1,CA,1584892358,85,17.6,55.28,-114.77,2.24
563,burnie,0,AU,1584892358,82,48.99,-41.07,145.92,1.99
564,rozivka,100,UA,1584892358,75,47.89,46.94,35.77,10.87
565,umarkot,73,PK,1584892358,39,80.29,25.36,69.74,9.06
566,buchanan,40,LR,1584892358,63,91.4,5.88,-10.05,13.87
567,port moresby,98,PG,1584892281,82,82.63,-9.44,147.18,7.11
568,san felipe,77,VE,1584892358,54,84.79,10.34,-68.74,6.71
